iter	Passed	Remaining
0	75	37640
1	153	38119
2	229	37941
3	312	38729
4	385	38192
5	436	35913
6	512	36121
7	583	35912
8	661	36076
9	742	36375
10	816	36315
11	911	37084
12	1002	37540
13	1083	37621
14	1160	37510
15	1240	37529
16	1309	37212
17	1391	37265
18	1464	37077
19	1539	36949
20	1611	36762
21	1686	36634
22	1762	36562
23	1844	36585
24	1921	36502
25	1991	36310
26	2082	36477
27	2167	36532
28	2248	36511
29	2337	36620
30	2421	36630
31	2497	36522
32	2570	36381
33	2646	36272
34	2730	36278
35	2797	36053
36	2906	36372
37	2994	36401
38	3130	37003
39	3240	37262
40	3326	37240
41	3419	37289
42	3519	37408
43	3608	37402
44	3684	37251
45	3759	37104
46	3841	37021
47	3930	37009
48	4003	36849
49	4084	36762
50	4177	36774
51	4261	36715
52	4341	36617
53	4413	36456
54	4498	36398
55	4576	36281
56	4657	36199
57	4741	36134
58	4817	36005
59	4900	35938
60	4972	35783
61	5043	35630
62	5128	35576
63	5218	35550
64	5313	35562
65	5400	35509
66	5482	35434
67	5561	35330
68	5640	35232
69	5742	35275
70	5837	35272
71	5927	35234
72	6018	35203
73	6106	35151
74	6192	35089
75	6277	35021
76	6364	34960
77	6439	34841
78	6518	34740
79	6589	34592
80	6665	34477
81	6734	34330
82	6815	34240
83	6894	34145
84	6974	34053
85	7057	33975
86	7139	33894
87	7222	33816
88	7306	33741
89	7395	33688
90	7487	33651
91	7579	33613
92	7657	33513
93	7737	33420
94	7820	33338
95	7905	33270
96	7979	33150
97	8055	33043
98	8143	32984
99	8230	32923
100	8309	32825
101	8394	32756
102	8480	32685
103	8561	32599
104	8662	32586
105	8752	32532
106	8824	32410
107	8904	32318
108	8985	32231
109	9054	32103
110	9139	32028
111	9221	31945
112	9303	31862
113	9380	31763
114	9457	31661
115	9540	31581
116	9619	31489
117	9711	31439
118	9791	31348
119	9894	31333
120	9972	31237
121	10068	31197
122	10155	31125
123	10251	31084
124	10351	31054
125	10431	30963
126	10510	30868
127	10610	30837
128	10702	30781
129	10786	30701
130	10858	30584
131	10933	30480
132	11021	30411
133	11108	30341
134	11192	30259
135	11268	30160
136	11346	30063
137	11419	29955
138	11489	29840
139	11575	29766
140	11657	29680
141	11744	29608
142	11837	29551
143	11924	29479
144	12009	29402
145	12096	29330
146	12181	29252
147	12291	29234
148	12377	29157
149	12461	29077
150	12536	28974
151	12614	28880
152	12710	28828
153	12842	28854
154	12940	28803
155	13028	28728
156	13133	28693
157	13227	28631
158	13342	28614
159	13436	28552
160	13547	28524
161	13636	28451
162	13748	28425
163	13862	28400
164	13934	28292
165	14020	28210
166	14096	28107
167	14181	28025
168	14259	27927
169	14323	27805
170	14393	27692
171	14470	27594
172	14547	27497
173	14627	27405
174	14714	27327
175	14798	27242
176	14870	27137
177	14946	27038
178	15018	26932
179	15092	26831
180	15175	26746
181	15257	26658
182	15332	26560
183	15419	26482
184	15497	26388
185	15571	26287
186	15655	26204
187	15745	26130
188	15850	26081
189	15941	26010
190	16015	25910
191	16109	25842
192	16196	25763
193	16282	25683
194	16368	25601
195	16443	25504
196	16521	25411
197	16602	25323
198	16677	25225
199	16759	25139
200	16830	25036
201	16905	24939
202	16980	24843
203	17067	24765
204	17163	24699
205	17238	24602
206	17313	24506
207	17377	24395
208	17462	24314
209	17545	24230
210	17618	24131
211	17693	24036
212	17769	23943
213	17842	23845
214	17940	23781
215	18026	23701
216	18103	23609
217	18177	23514
218	18258	23427
219	18339	23340
220	18428	23264
221	18533	23208
222	18622	23131
223	18704	23046
224	18780	22953
225	18847	22850
226	18916	22749
227	18987	22652
228	19063	22560
229	19142	22471
230	19212	22372
231	19296	22290
232	19366	22193
233	19448	22107
234	19533	22026
235	19612	21939
236	19726	21890
237	19800	21797
238	19883	21713
239	19982	21647
240	20084	21584
241	20176	21510
242	20252	21419
243	20349	21350
244	20425	21259
245	20505	21172
246	20588	21088
247	20671	21005
248	20750	20917
249	20816	20816
250	20892	20725
251	20962	20629
252	21032	20534
253	21109	20444
254	21209	20377
255	21301	20303
256	21382	20217
257	21465	20134
258	21569	20070
259	21661	19995
260	21747	19914
261	21836	19836
262	21912	19746
263	21985	19653
264	22068	19569
265	22148	19484
266	22222	19392
267	22292	19298
268	22368	19208
269	22444	19119
270	22528	19037
271	22612	18954
272	22691	18868
273	22771	18782
274	22840	18687
275	22911	18595
276	22984	18503
277	23050	18407
278	23128	18320
279	23196	18226
280	23273	18138
281	23352	18052
282	23427	17963
283	23503	17876
284	23593	17798
285	23686	17723
286	23775	17645
287	23866	17568
288	23944	17482
289	24020	17394
290	24131	17331
291	24227	17257
292	24306	17172
293	24390	17089
294	24467	17002
295	24553	16921
296	24633	16837
297	24723	16758
298	24817	16683
299	24894	16596
300	24975	16512
301	25059	16429
302	25160	16358
303	25240	16273
304	25313	16184
305	25397	16101
306	25469	16011
307	25533	15916
308	25601	15824
309	25678	15738
310	25757	15653
311	25848	15575
312	25928	15491
313	26019	15412
314	26094	15325
315	26181	15245
316	26268	15164
317	26349	15080
318	26429	14996
319	26507	14910
320	26594	14830
321	26676	14746
322	26757	14662
323	26845	14582
324	26918	14494
325	26987	14404
326	27064	14318
327	27153	14239
328	27231	14153
329	27304	14066
330	27386	13982
331	27465	13898
332	27551	13817
333	27627	13731
334	27713	13650
335	27798	13568
336	27878	13484
337	27956	13399
338	28025	13310
339	28108	13227
340	28194	13146
341	28286	13067
342	28379	12990
343	28463	12907
344	28547	12825
345	28627	12741
346	28737	12671
347	28849	12600
348	28948	12525
349	29059	12454
350	29164	12380
351	29254	12300
352	29343	12219
353	29445	12144
354	29545	12067
355	29624	11983
356	29719	11904
357	29806	11822
358	29893	11741
359	30001	11667
360	30091	11586
361	30223	11521
362	30313	11440
363	30413	11363
364	30514	11286
365	30601	11203
366	30683	11119
367	30775	11038
368	30868	10958
369	30949	10874
370	31025	10787
371	31103	10702
372	31174	10614
373	31248	10527
374	31312	10437
375	31378	10348
376	31448	10260
377	31530	10176
378	31616	10094
379	31695	10009
380	31776	9924
381	31856	9840
382	31947	9759
383	32030	9675
384	32125	9595
385	32212	9513
386	32298	9430
387	32384	9348
388	32471	9265
389	32554	9182
390	32633	9097
391	32715	9013
392	32798	8929
393	32882	8846
394	32954	8760
395	33034	8675
396	33114	8591
397	33196	8507
398	33274	8422
399	33354	8338
400	33434	8254
401	33516	8170
402	33590	8084
403	33673	8001
404	33749	7916
405	33859	7839
406	33955	7758
407	34039	7675
408	34138	7595
409	34213	7510
410	34296	7426
411	34382	7343
412	34470	7261
413	34554	7178
414	34639	7094
415	34724	7011
416	34808	6928
417	34894	6845
418	34978	6762
419	35074	6680
420	35168	6599
421	35278	6520
422	35394	6442
423	35483	6360
424	35575	6277
425	35660	6194
426	35742	6110
427	35822	6026
428	35898	5941
429	35974	5856
430	36079	5776
431	36179	5694
432	36257	5610
433	36337	5525
434	36414	5441
435	36491	5356
436	36565	5271
437	36640	5186
438	36723	5102
439	36818	5020
440	36908	4937
441	36987	4853
442	37070	4769
443	37142	4684
444	37218	4600
445	37298	4515
446	37376	4431
447	37450	4346
448	37536	4263
449	37609	4178
450	37691	4095
451	37763	4010
452	37834	3925
453	37920	3842
454	38003	3758
455	38083	3674
456	38169	3591
457	38253	3507
458	38347	3425
459	38443	3342
460	38531	3259
461	38621	3176
462	38718	3094
463	38810	3011
464	38926	2929
465	39002	2845
466	39086	2762
467	39169	2678
468	39248	2594
469	39327	2510
470	39405	2426
471	39476	2341
472	39563	2258
473	39645	2174
474	39721	2090
475	39805	2006
476	39880	1922
477	39956	1839
478	40046	1755
479	40134	1672
480	40213	1588
481	40291	1504
482	40389	1421
483	40474	1337
484	40558	1254
485	40651	1171
486	40732	1087
487	40809	1003
488	40882	919
489	40960	835
490	41047	752
491	41144	669
492	41226	585
493	41304	501
494	41384	418
495	41450	334
496	41536	250
497	41606	167
498	41678	83
499	41752	0
