iter	Passed	Remaining
0	93	46709
1	239	59601
2	336	55775
3	451	55958
4	588	58271
5	721	59428
6	852	60032
7	1031	63407
8	1194	65170
9	1327	65071
10	1457	64808
11	1630	66298
12	1815	68002
13	1999	69408
14	2124	68699
15	2227	67391
16	2321	65943
17	2413	64617
18	2516	63700
19	2640	63369
20	2746	62646
21	2842	61768
22	2938	60935
23	3021	59919
24	3117	59235
25	3241	59086
26	3360	58877
27	3468	58461
28	3572	58015
29	3683	57709
30	3772	57075
31	3885	56832
32	3990	56473
33	4087	56021
34	4172	55440
35	4271	55051
36	4364	54609
37	4458	54204
38	4555	53853
39	4637	53335
40	4727	52929
41	4819	52558
42	4902	52104
43	4993	51751
44	5122	51790
45	5230	51622
46	5351	51579
47	5481	51618
48	5588	51438
49	5715	51437
50	5834	51364
51	5933	51115
52	6046	50993
53	6163	50903
54	6289	50887
55	6448	51124
56	6583	51165
57	6690	50988
58	6817	50959
59	6946	50944
60	7063	50835
61	7226	51052
62	7369	51120
63	7525	51264
64	7685	51434
65	7831	51496
66	7972	51523
67	8097	51445
68	8238	51463
69	8383	51501
70	8522	51497
71	8654	51443
72	8793	51435
73	8927	51395
74	9096	51545
75	9224	51462
76	9403	51660
77	9563	51742
78	9717	51786
79	9842	51671
80	10004	51754
81	10181	51899
82	10431	52409
83	10691	52949
84	10937	53400
85	11096	53415
86	11291	53602
87	11501	53849
88	11717	54108
89	11898	54204
90	12065	54229
91	12212	54160
92	12348	54041
93	12502	53999
94	12649	53926
95	12799	53865
96	12961	53849
97	13142	53912
98	13280	53791
99	13452	53810
100	13601	53733
101	13772	53739
102	13901	53583
103	14065	53557
104	14200	53421
105	14343	53316
106	14480	53185
107	14613	53040
108	14744	52891
109	14880	52757
110	15011	52607
111	15146	52471
112	15279	52327
113	15424	52225
114	15562	52101
115	15700	51973
116	15819	51784
117	15944	51617
118	16035	51341
119	16190	51271
120	16329	51147
121	16432	50913
122	16588	50843
123	16768	50846
124	16920	50761
125	17024	50532
126	17132	50317
